probe_id,timestamp,readable_time,selected_ip,in_dns_set,avg_rtt
55584,1759845081,2025-10-07 15:51:21,64.233.161.198,0,78.75010019999999
55761,1759845078,2025-10-07 15:51:18,142.251.163.93,1,6.450325000000001
60105,1759845086,2025-10-07 15:51:26,142.251.41.46,1,16.2635388
60135,1759845074,2025-10-07 15:51:14,142.250.184.174,1,33.2990387
60254,1759845080,2025-10-07 15:51:20,142.251.40.174,1,12.4571325
60339,1759845078,2025-10-07 15:51:18,142.250.117.190,0,14.642345699999998
60689,1759845062,2025-10-07 15:51:02,172.217.12.142,1,148.0202889
61364,1759845085,2025-10-07 15:51:25,142.250.117.91,1,11.023223400000001
61747,1759845081,2025-10-07 15:51:21,142.251.47.238,1,10.1710718
61915,1759845077,2025-10-07 15:51:17,142.250.217.78,1,7.300322599999999
62602,1759845074,2025-10-07 15:51:14,142.251.39.78,1,4.9079337
62832,1759845081,2025-10-07 15:51:21,172.217.24.46,1,6.0271721
62939,1759845082,2025-10-07 15:51:22,142.250.185.14,1,12.697227999999999
6372,1759845094,2025-10-07 15:51:34,142.250.186.46,1,9.240982099999998
64089,1759845074,2025-10-07 15:51:14,172.217.16.206,1,25.3434608
64609,1759845093,2025-10-07 15:51:33,142.250.179.110,1,130.02998449999998
64786,1759845077,2025-10-07 15:51:17,192.178.50.46,1,150.1641059
6492,1759845093,2025-10-07 15:51:33,172.217.14.110,1,0.8032966
65132,1759845080,2025-10-07 15:51:20,142.250.74.142,1,76.12690210000001
65369,1759845077,2025-10-07 15:51:17,142.250.183.174,1,74.6350387
7249,1759845101,2025-10-07 15:51:41,216.58.208.206,1,2.8199706
7520,1759845101,2025-10-07 15:51:41,142.251.47.238,1,18.2531539
7548,1759845181,2025-10-07 15:53:01,142.250.67.14,1,26.867258100000004
1002570,1759845427,2025-10-07 15:57:07,142.250.185.110,1,5.3776051
1003136,1759845424,2025-10-07 15:57:04,74.125.193.190,1,8.4929545
1003139,1759845420,2025-10-07 15:57:00,142.251.10.93,1,25.5586719
1004171,1759845436,2025-10-07 15:57:16,142.250.198.78,1,4.4555475
1004463,1759845432,2025-10-07 15:57:12,142.250.187.174,1,47.16876289999999
1006285,1759845428,2025-10-07 15:57:08,216.58.206.46,1,6.6007808
1006437,1759845434,2025-10-07 15:57:14,64.233.166.91,1,18.3513038
1008095,1759845434,2025-10-07 15:57:14,142.250.179.110,1,16.334566600000002
1008172,1759845424,2025-10-07 15:57:04,172.217.17.142,1,63.37755119999999
1008837,1759845437,2025-10-07 15:57:17,,0,-1
1009077,1759845429,2025-10-07 15:57:09,172.253.118.91,1,2.2609013
1009200,1759845425,2025-10-07 15:57:05,142.250.78.142,1,0.9798897
1009234,1759845428,2025-10-07 15:57:08,142.250.180.142,1,10.7839839
1009868,1759845429,2025-10-07 15:57:09,142.251.141.46,1,6.5059078
1010397,1759845429,2025-10-07 15:57:09,142.250.185.206,1,2.8055242999999996
1010399,1759845424,2025-10-07 15:57:04,172.217.168.238,1,0.9651048
1010625,1759845429,2025-10-07 15:57:09,142.251.40.142,1,236.1419421
1011004,1759845427,2025-10-07 15:57:07,64.233.161.198,0,4.0450815
